,SCHOOL NAME,CITY,COUNTY,ZIP,SCHOOL TYPE,ENROLLED,% IMMUNE MMR
879,LINCOLN ELEMENTARY SCHOOL,MESA,MARICOPA,85210.0,PUBLIC,92,0.98
880,MANUEL PENA JR. ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85035.0,PUBLIC,92,0.97
881,PASEO VERDE ELEMENTARY SCHOOL,PEORIA,MARICOPA,85381.0,PUBLIC,92,0.94
882,T DALE HANCOCK ELEMENTARY,CHANDLER,MARICOPA,85286.0,PUBLIC,92,0.96
883,TARTESSO ELEMENTARY SCHOOL,BUCKEYE,MARICOPA,85322.0,PUBLIC,92,0.98
884,VERRADO HERITAGE ELEMENTARY SCHOOL,BUCKEYE,MARICOPA,85396.0,PUBLIC,92,0.91
885,CAMPO BELLO ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85032.0,PUBLIC,93,0.88
886,COLLIER ELEMENTARY SCHOOL,AVONDALE,MARICOPA,85323.0,PUBLIC,93,0.97
887,ESPERANZA ELEMENTARY SCHOOL-85009,PHOENIX,MARICOPA,85009.0,PUBLIC,93,1.0
888,FULLER ELEMENTARY SCHOOL,TEMPE,MARICOPA,85283.0,PUBLIC,93,0.91
889,HARTFORD SYLVIA ENCINAS ELEMENTARY SCHOOL,CHANDLER,MARICOPA,85225.0,PUBLIC,93,0.98
890,JOHN E WRIGHT ELEMENTARY SCHOOL,TUCSON,PIMA,85712.0,PUBLIC,93,0.97
891,MANZANITA ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85051.0,PUBLIC,93,1.0
892,MARYLAND ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85015.0,PUBLIC,93,0.96
893,SUMMIT ACADEMY,CHANDLER,MARICOPA,85224.0,PUBLIC,93,0.94
894,TERRAMAR ELEMENTARY,PEORIA,MARICOPA,85383.0,PUBLIC,93,0.91
895,CORONADO ELEMENTARY SCHOOL,GILBERT,MARICOPA,85297.0,PUBLIC,94,0.93
896,CROWN CHARTER SCHOOL,LITCHFIELD PARK,MARICOPA,85340.0,CHARTER,94,0.97
897,FRANCES BRANDEN-PICKETT ELEMENTARY,QUEEN CREEK,MARICOPA,85242.0,PUBLIC,94,0.92
